"rec";"file";"chunk";"from_min";"to_min";"offset_min"
"rec1";"audio/artificial_recording_drifted_ID_ind2_ID_REC_rec1_REC.wav";0,5;0,5;2,5;0
"rec1";"audio/artificial_recording_ID_ind1_ID_REC_rec1_REC.wav";0,5;-1;1;-1,5
"rec1";"audio/artificial_recording_drifted_ID_ind2_ID_REC_rec1_REC.wav";2,5;2,5;4,5;0
"rec1";"audio/artificial_recording_ID_ind1_ID_REC_rec1_REC.wav";2,5;-3,5;-1,5;-6
"rec1";"audio/artificial_recording_drifted_ID_ind2_ID_REC_rec1_REC.wav";4,5;4,5;6,5;0
"rec1";"audio/artificial_recording_ID_ind1_ID_REC_rec1_REC.wav";4,5;-6;-4;-10,5
"rec1";"audio/artificial_recording_drifted_ID_ind2_ID_REC_rec1_REC.wav";6,5;6,5;8,5;0
"rec1";"audio/artificial_recording_ID_ind1_ID_REC_rec1_REC.wav";6,5;-5,5;-3,5;-12
